timestamp,language,question,answer
2026-01-07T16:08:38.899311,en,microphone nahin lagaya uske,Cardiology Unit-1
2026-01-07T16:08:41.789769,hi,वही हो तो अच्छा है,कृपया अपने लक्षण विवरण और लक्षणों के अनुसार एक उपयोगकर्ता अनुरोध प्रस्तुत करें ताकि मैं आपका सही विभाग का सुझाव दे सकूँ।
2026-01-07T16:08:58.020786,en,aur uska problem,Cardiology Unit-2
2026-01-07T16:09:03.138339,en,pahunch gaye sar mandir,Surgical Gastroenterology
2026-01-07T16:09:09.305782,en,that's right second,Cardiology Unit-2
2026-01-07T16:09:19.613961,te,నేను ఇప్పుడు ఫోన్,మా హాస్పిటల్‌లో మీకు సహాయం చేయడానికి మమ్మల్ని ఒక స్నేహితుడిగా స్పష్టం చేయడానికి అనుమత
2026-01-07T16:09:39.501969,te,నేను వాడికి నెంబర్ ఆఫ్,కార్డియాలజీ యూనిట్-1
2026-01-07T16:10:59.715383,te,కీబోర్డ్ ఇంటర్నేషనల్,"నివేదించిన లక్షణాలను అందించిన జాబితా నుండి మాకు చాలా చాలా వివరాలు కనుగొనబడ్డాయి

అభ్య"
2026-01-07T16:11:03.053980,te,కీబోర్డ్ ఇంటర్,"కీబోర్డ్ ఇంటర్

కీబోర్డ్ ఇంటర్ అనేది శరీరంలో పెదవి, గుడ్లలోని కండరాలు మరియు నాడీ కణజాలం"
2026-01-07T16:11:06.897370,hi,अब क्या हुआ क्या मालूम,"आपके साथ कुछ गंभीर लक्षण आ गए हैं जैसे कि सांस फूलना, तेज़ सीने, बाजू में दर्द, दिल की धड़कन और बीमार होने पर शरीर में लगातार दर्द। क्या आप इन लक्षणों और प्रारंभिक जानकारी के साथ ही।"
2026-01-07T16:11:12.311642,te,ఓయ్ ఆన్ కరెంట్ పిన్ కోడ్ నెంబర్,"గ్రౌండ్ ఫ్లోర్, గది నం 2,4,6"
2026-01-07T16:11:29.559133,en,yaar band ho ja band ho ja band ho ja,Cardiology Unit-1
2026-01-07T16:11:32.410341,en,aur koi sandesh,Cardiology Unit-2 (Dr. B. Srinivas)
2026-01-07T16:11:36.112095,hi,स्टॉप करना है नहीं करना,"मुझे खेद है, लेकिन मैं समझ नहीं सका कि आप क्या कहना चाहते हैं। कृपया अपना प्रश्न फिर से पूछें ताकि मैं आपकी सहायता कर सकूं।"
2026-01-07T16:11:39.469009,en,mobile ka ringtone,Cardiology Unit-1
2026-01-07T16:11:42.606461,en,apne aap close ho gaya tha,Cardiology Unit-1
2026-01-07T16:11:45.300408,en,madhumakkhi,I couldn't find any information about the specific symptom 'madhumakkhi'.
2026-01-07T16:11:59.911928,en,code,Neurology
2026-01-07T16:12:07.610766,te,కూచిపూడి నేమ్ కరువు,"కూచిపూడి కరువు

కార్డియాలజీ యూనిట్-1, గ్రౌండ్ ఫ్లోర్, గది నం 2,4,6 - డాక్టర్లు సై సతీష్ గారిక"
